title,year,duration,rate,rating,rating_count,image_url
83. Your Name.,2016,1h 46m,,8.4,342K,"https://m.media-amazon.com/images/M/MV5BMjI1ODZkYTgtYTY3Yy00ZTJkLWFkOTgtZDUyYWM4MzQwNjk0XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
84. High and Low,1963,2h 23m,Not Rated,8.4,58K,"https://m.media-amazon.com/images/M/MV5BOTFmOTNjYjUtMDA2MC00ZTJiLThiYzktNDdjNzQwMjNkN2NmXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
85. Joker,2019,2h 2m,R,8.4,1.6M,"https://m.media-amazon.com/images/M/MV5BNzY3OWQ5NDktNWQ2OC00ZjdlLThkMmItMDhhNDk3NTFiZGU4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
86. 3 Idiots,2009,2h 50m,PG-13,8.4,449K,"https://m.media-amazon.com/images/M/MV5BNzc4ZWQ3NmYtODE0Ny00YTQ4LTlkZWItNTBkMGQ0MmUwMmJlXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg"
87. Once Upon a Time in America,1984,3h 49m,R,8.3,388K,"https://m.media-amazon.com/images/M/MV5BMDQ0ZTg2OGUtZjMyOC00M2M5LThkMmItZmM2MmUzMmIxMWJhXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
88. Singin' in the Rain,1952,1h 43m,G,8.3,268K,"https://m.media-amazon.com/images/M/MV5BMGQzZDFjZWUtZDU4ZS00ZjM3LTgyYmItYjA3YmIwYzRkZWY3XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
89. Capernaum,2018,2h 6m,R,8.4,112K,"https://m.media-amazon.com/images/M/MV5BYzEyMzQ1OTktZTljZi00OWQzLWE2ZmUtZjQyNzBjYjE1NTc0XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
90. Come and See,1985,2h 22m,Not Rated,8.3,107K,"https://m.media-amazon.com/images/M/MV5BNDlkZmVkZDAtZGFmMS00OWIzLWJkY2YtNWE5NjNhNjhiZGE3XkEyXkFqcGc@._V1_QL75_UX140_CR0,4,140,207_.jpg"
91. Requiem for a Dream,2000,1h 42m,NC-17,8.3,924K,"https://m.media-amazon.com/images/M/MV5BN2ZlMjIzZjctYzA2My00ZWYyLWI4ZjctMGI2NWYyNzFiZjAwXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
92. Toy Story 3,2010,1h 43m,G,8.3,917K,"https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_QL75_UY207_CR3,0,140,207_.jpg"
93. Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,8.3,1.1M,"https://m.media-amazon.com/images/M/MV5BNWEwOTI0MmUtMGNmNy00ODViLTlkZDQtZTg1YmQ3MDgyNTUzXkEyXkFqcGc@._V1_QL75_UX140_CR0,5,140,207_.jpg"
94. The Hunt,2012,1h 55m,R,8.3,379K,"https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_QL75_UY207_CR3,0,140,207_.jpg"
95. Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3,1.1M,"https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
96. Ikiru,1952,2h 23m,Not Rated,8.3,94K,"https://m.media-amazon.com/images/M/MV5BZTk4OGEwNDQtOGI2MC00MTU2LTk0YTEtNmU5NTIxMWNkNDhlXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
97. 2001: A Space Odyssey,1968,2h 29m,G,8.3,741K,"https://m.media-amazon.com/images/M/MV5BNjU0NDFkMTQtZWY5OS00MmZhLTg3Y2QtZmJhMzMzMWYyYjc2XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
98. Reservoir Dogs,1992,1h 39m,R,8.3,1.1M,"https://m.media-amazon.com/images/M/MV5BMmMzYjg4NDctYWY0Mi00OGViLWIzMTMtYWNlZGY5ZDJmYjk3XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
99. The Apartment,1960,2h 5m,Approved,8.3,204K,"https://m.media-amazon.com/images/M/MV5BNDdhMzVhOWQtNDU2Mi00ZmZmLWJiZDMtY2QxMjhjY2Y1ZTI5XkEyXkFqcGc@._V1_QL75_UX140_CR0,7,140,207_.jpg"
100. Lawrence of Arabia,1962,3h 47m,PG,8.3,324K,"https://m.media-amazon.com/images/M/MV5BYjY0YTQ1OTAtYjEyNy00NTQ4LThlMTQtM2QwYTVhYWFhNjU5XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg"
101. Incendies,2010,2h 11m,R,8.3,217K,"https://m.media-amazon.com/images/M/MV5BYWFmMjdmNjctNzhhOC00ZmMzLTkwOGItMmVmZDU4MjE2MTYwXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
102. Scarface,1983,2h 50m,R,8.3,945K,"https://m.media-amazon.com/images/M/MV5BNDUzYjY0NmUtMDM4OS00Y2Q5LWJiODYtNTk0ZTk0YjZhMTg1XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
103. Double Indemnity,1944,1h 47m,Approved,8.3,172K,"https://m.media-amazon.com/images/M/MV5BM2YwNjZlZDktNTlmNS00ODQwLWJmNmUtYmE1NTBhYjc1YTY5XkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg"
104. North by Northwest,1959,2h 16m,Approved,8.3,356K,"https://m.media-amazon.com/images/M/MV5BZWIzODI2OGItMzM0Ny00OGRmLTlkNmItMDQxMTFmMTk3YmQwXkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg"
105. Citizen Kane,1941,1h 59m,PG,8.3,476K,"https://m.media-amazon.com/images/M/MV5BYjk1ZDJlMmUtOWQ0Zi00MDM5LTk1OGYtODczNjFmMGYwZGVkXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
106. M,1931,1h 39m,Passed,8.3,174K,"https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_QL75_UX140_CR0,1,140,207_.jpg"
107. Heat,1995,2h 50m,R,8.3,740K,"https://m.media-amazon.com/images/M/MV5BMTkxYjU1OTMtYWViZC00ZjAzLWI3MDktZGQ2N2VmMjVjNDRlXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg"
108. Vertigo,1958,2h 8m,PG,8.3,439K,"https://m.media-amazon.com/images/M/MV5BNzEyZTUxMWItMGVhYy00Y2NlLTljYTMtYzBmMzI1YmUyMDBkXkEyXkFqcGc@._V1_QL75_UX140_CR0,5,140,207_.jpg"
109. Full Metal Jacket,1987,1h 56m,R,8.2,810K,"https://m.media-amazon.com/images/M/MV5BYWUzNzZkNzUtNDdiYy00Nzk5LTgxMmItNTk0MjRjNjdjNDA0XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
110. Up,2009,1h 36m,PG,8.3,1.2M,"https://m.media-amazon.com/images/M/MV5BNmI1ZTc5MWMtMDYyOS00ZDc2LTkzOTAtNjQ4NWIxNjYyNDgzXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
111. Amélie,2001,2h 2m,R,8.3,809K,"https://m.media-amazon.com/images/M/MV5BOTNmYzY0MWQtZGZmNy00Y2Y4LWFmMDQtMTZjYTdiYzEwZGQ2XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
112. Oppenheimer,2023,3h,R,8.3,828K,"https://m.media-amazon.com/images/M/MV5BN2JkMDc5MGQtZjg3YS00NmFiLWIyZmQtZTJmNTM5MjVmYTQ4XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
113. A Clockwork Orange,1971,2h 16m,R,8.2,900K,"https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_QL75_UX140_CR0,0,140,207_.jpg"
114. To Kill a Mockingbird,1962,2h 9m,Approved,8.3,340K,"https://m.media-amazon.com/images/M/MV5BZTlkYWU4MGEtZmQyYi00OWEzLTgzY2EtYzVjOTEzYzAyNTk1XkEyXkFqcGc@._V1_QL75_UX140_CR0,3,140,207_.jpg"
115. A Separation,2011,2h 3m,PG-13,8.3,266K,"https://m.media-amazon.com/images/M/MV5BMDM0ZWRmMzctM2M5ZS00ZjU0LWIxN2MtNWNlNGY1ZDhjMDVhXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
116. The Sting,1973,2h 9m,PG,8.3,286K,"https://m.media-amazon.com/images/M/MV5BZGI4OTk4MDMtYmQ1Ni00YTUzLTkyYTktZGUwMjMyN2M4NjQ5XkEyXkFqcGc@._V1_QL75_UX140_CR0,3,140,207_.jpg"
117. Die Hard,1988,2h 12m,R,8.2,972K,"https://m.media-amazon.com/images/M/MV5BMGNlYmM1NmQtYWExMS00NmRjLTg5ZmEtMmYyYzJkMzljYWMxXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
118. Indiana Jones and the Last Crusade,1989,2h 7m,PG-13,8.2,828K,"https://m.media-amazon.com/images/M/MV5BNGIxNzQ0YzYtMjNmYi00YjBlLWFjNzEtNGE3ZGFmYTczM2MwXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
119. Like Stars on Earth,2007,2h 42m,PG,8.3,214K,"https://m.media-amazon.com/images/M/MV5BZTI0ZGRiMDEtNGNjMS00MGU4LWI3OTktNzcxMDZmZTk3MTljXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
120. Metropolis,1927,2h 33m,Not Rated,8.3,191K,"https://m.media-amazon.com/images/M/MV5BMjhjMGYyMjAtMzJkYy00NzhlLWIwY2MtMWQ2ODIxZDUyOGYyXkEyXkFqcGc@._V1_QL75_UY207_CR0,0,140,207_.jpg"
121. Snatch,2000,1h 42m,R,8.2,932K,"https://m.media-amazon.com/images/M/MV5BYzk5NjJkMTQtN2IyNC00YWM5LTlhZmMtNGI3MWNhMTU1YTc4XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
122. 1917,2019,1h 59m,R,8.2,708K,"https://m.media-amazon.com/images/M/MV5BYzkxZjg2NDQtMGVjMy00NWZkLTk0ZDEtZWE3NDYwYjAyMTg1XkEyXkFqcGc@._V1_QL75_UX140_CR0,7,140,207_.jpg"
123. L.A. Confidential,1997,2h 18m,R,8.2,633K,"https://m.media-amazon.com/images/M/MV5BODdiMjY1OGYtNDk0NC00NGQ1LWI4MDItOTJhMTM0YjE1YTAzXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
124. Bicycle Thieves,1948,1h 29m,Not Rated,8.3,181K,"https://m.media-amazon.com/images/M/MV5BZTQzYTIxYzItYmQ5YS00MmFhLWEyMjItNTBhMTRmM2Y5MDJhXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg"
125. Downfall,2004,2h 36m,R,8.2,383K,"https://m.media-amazon.com/images/M/MV5BMTU0NTU5NTAyMl5BMl5BanBnXkFtZTYwNzYwMDg2._V1_QL75_UY207_CR1,0,140,207_.jpg"
126. Dangal,2016,2h 41m,Not Rated,8.3,220K,"https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_QL75_UY207_CR4,0,140,207_.jpg"
127. Taxi Driver,1976,1h 54m,R,8.2,957K,"https://m.media-amazon.com/images/M/MV5BZDNhMGYwM2UtMTdlZS00MGQ1LWI2YzAtODY5YWI1MjYyNzRmXkEyXkFqcGc@._V1_QL75_UX140_CR0,3,140,207_.jpg"
128. Hamilton,2020,2h 40m,PG-13,8.3,123K,"https://m.media-amazon.com/images/M/MV5BYzBhOWY4ZTktMjE2NS00ZGIyLWJkOGMtNDQyN2JjZWFiODdiXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
129. The Wolf of Wall Street,2013,3h,R,8.2,1.6M,"https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_QL75_UX140_CR0,0,140,207_.jpg"
130. Batman Begins,2005,2h 20m,PG-13,8.2,1.6M,"https://m.media-amazon.com/images/M/MV5BODIyMDdhNTgtNDlmOC00MjUxLWE2NDItODA5MTdkNzY3ZTdhXkEyXkFqcGc@._V1_QL75_UY207_CR0,0,140,207_.jpg"
131. For a Few Dollars More,1965,2h 12m,R,8.2,283K,"https://m.media-amazon.com/images/M/MV5BNTRmOTcyYmYtMTIwNi00ZGYyLTk4YjYtZGJlZTgwZGY0NGQyXkEyXkFqcGc@._V1_QL75_UX140_CR0,3,140,207_.jpg"
132. Green Book,2018,2h 10m,PG-13,8.2,611K,"https://m.media-amazon.com/images/M/MV5BNDU5YTNmMmItN2QxNy00OGQ0LTg5MTctNzFmYjEzZjcwN2UwXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
133. Some Like It Hot,1959,2h 1m,Approved,8.2,290K,"https://m.media-amazon.com/images/M/MV5BZTllZDYyNjEtY2RmMS00NmJhLWI4ODAtMTQ0NWFiZTJhZjA0XkEyXkFqcGc@._V1_QL75_UX140_CR0,5,140,207_.jpg"
134. The Truman Show,1998,1h 43m,PG,8.2,1.2M,"https://m.media-amazon.com/images/M/MV5BNzA3ZjZlNzYtMTdjMy00NjMzLTk5ZGYtMTkyYzNiOGM1YmM3XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
135. Judgment at Nuremberg,1961,2h 59m,Approved,8.3,89K,"https://m.media-amazon.com/images/M/MV5BNDc2ODQ5NTE2MV5BMl5BanBnXkFtZTcwODExMjUyNA@@._V1_QL75_UX140_CR0,1,140,207_.jpg"
136. The Kid,1921,1h 8m,Passed,8.2,139K,"https://m.media-amazon.com/images/M/MV5BNjkxMzY1NTQtN2YwOS00NmIwLTlkNTMtMjNkMzk1ZTk3ZDU2XkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg"
137. The Father,2020,1h 37m,PG-13,8.2,205K,"https://m.media-amazon.com/images/M/MV5BYzUxMDAyMDAtNzIyZi00OGQ1LTllMjEtYzRjOThkZTUxNTliXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
138. Shutter Island,2010,2h 18m,R,8.2,1.5M,"https://m.media-amazon.com/images/M/MV5BN2FjNWExYzEtY2YzOC00YjNlLTllMTQtNmIwM2Q1YzBhOWM1XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
139. All About Eve,1950,2h 18m,Approved,8.2,142K,"https://m.media-amazon.com/images/M/MV5BOTM4ZjUzOGUtYzdlZi00ZmM5LTk5NTEtMjQxNDVmOTc5NWNlXkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg"
140. There Will Be Blood,2007,2h 38m,R,8.2,658K,"https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
141. Jurassic Park,1993,2h 7m,PG-13,8.2,1.1M,"https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_QL75_UX140_CR0,1,140,207_.jpg"
142. Casino,1995,2h 58m,R,8.2,581K,"https://m.media-amazon.com/images/M/MV5BMDRlZWZjZjYtYzY2NS00ZWVjLTkwYzAtZTA2ZDAzMGRiYmYwXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
143. The Sixth Sense,1999,1h 47m,PG-13,8.2,1.1M,"https://m.media-amazon.com/images/M/MV5BZWQ2OTY0M2UtMTQxNC00MmIzLTllNDQtNDQ0MTQyYzI2M2ZiXkEyXkFqcGc@._V1_QL75_UY207_CR0,0,140,207_.jpg"
144. Top Gun: Maverick,2022,2h 10m,PG-13,8.2,747K,"https://m.media-amazon.com/images/M/MV5BMDBkZDNjMWEtOTdmMi00NmExLTg5MmMtNTFlYTJlNWY5YTdmXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
145. Ran,1985,2h 40m,R,8.2,141K,"https://m.media-amazon.com/images/M/MV5BZDk2NDY5YjktMjEyMC00OTJhLTkzM2EtY2Q4Y2RjYzc2Yjk4XkEyXkFqcGc@._V1_QL75_UX140_CR0,3,140,207_.jpg"
146. No Country for Old Men,2007,2h 2m,R,8.2,1.1M,"https://m.media-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_QL75_UY207_CR1,0,140,207_.jpg"
147. Pan's Labyrinth,2006,1h 58m,R,8.2,716K,"https://m.media-amazon.com/images/M/MV5BOTc1NTAxMWItMWFlNy00MmU2LTkwMTMtNzMwOTg5OTQ5YTFiXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
148. The Thing,1982,1h 49m,R,8.2,487K,"https://m.media-amazon.com/images/M/MV5BYTA3NDU5MWEtNTk4Yy00ZDNkLThmZTQtMjU3ZGVhYzAyMzU4XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
149. Unforgiven,1992,2h 10m,R,8.2,447K,"https://m.media-amazon.com/images/M/MV5BNmZmMzM3YWMtZjg5Yi00M2MxLTg3ZGItNGU4YjQxNDAxM2Q4XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
150. A Beautiful Mind,2001,2h 15m,PG-13,8.2,1M,"https://m.media-amazon.com/images/M/MV5BNzljZTk5ZDgtZTQ1Zi00NTM4LThlOGUtZDk2MGM4NDQ4NWQyXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
151. Kill Bill: Vol. 1,2003,1h 51m,R,8.2,1.2M,"https://m.media-amazon.com/images/M/MV5BZmMyYzJlZmYtY2I3NC00NjAyLTkyZWItZjdjZDI1YTYyYTEwXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
152. The Treasure of the Sierra Madre,1948,2h 6m,Approved,8.2,136K,"https://m.media-amazon.com/images/M/MV5BOWM1YjFmODEtMWNhMC00YmI1LWI0Y2EtYzg0YTBhZWI4ODE3XkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg"
153. Yojimbo,1961,1h 50m,Not Rated,8.2,135K,"https://m.media-amazon.com/images/M/MV5BYzFkODA1N2QtY2UyMC00NTMwLWEyNzctMmE3YjIzNzE1MzY4XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
154. Prisoners,2013,2h 33m,R,8.2,846K,"https://m.media-amazon.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_QL75_UY207_CR0,0,140,207_.jpg"
155. Finding Nemo,2003,1h 40m,G,8.2,1.1M,"https://m.media-amazon.com/images/M/MV5BMTc5NjExNTA5OV5BMl5BanBnXkFtZTYwMTQ0ODY2._V1_QL75_UX140_CR0,0,140,207_.jpg"
156. The Great Escape,1963,2h 52m,Approved,8.2,265K,"https://m.media-amazon.com/images/M/MV5BMDRhNmJjMzEtMWU5MC00YmEyLTg3ZmYtNzYxZTI1ZGU4ZjI1XkEyXkFqcGc@._V1_QL75_UX140_CR0,6,140,207_.jpg"
157. Monty Python and the Holy Grail,1975,1h 31m,PG,8.2,581K,"https://m.media-amazon.com/images/M/MV5BYWY4YmUzZmUtMzQ0ZS00N2Y2LWJlODQtN2IwMDc1MWQwMmU3XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
158. The Wild Robot,2024,1h 42m,PG,8.2,101K,"https://m.media-amazon.com/images/M/MV5BZjM2M2E3YzAtZDJjYy00MDhkLThiYmItOGZhNzQ3NTgyZmI0XkEyXkFqcGc@._V1_QL75_UX140_CR0,7,140,207_.jpg"
159. Howl's Moving Castle,2004,1h 59m,PG,8.2,470K,"https://m.media-amazon.com/images/M/MV5BMTY1OTg0MjE3MV5BMl5BanBnXkFtZTcwNTUxMTkyMQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
160. The Elephant Man,1980,2h 4m,PG,8.2,266K,"https://m.media-amazon.com/images/M/MV5BMGE3MDZhNmMtMmUxZS00MDJmLTgxYmQtOGU4ODU0Y2JmNDI1XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
161. Rashomon,1950,1h 28m,Not Rated,8.2,186K,"https://m.media-amazon.com/images/M/MV5BMjEzMzA4NDE2OF5BMl5BanBnXkFtZTcwNTc5MDI2NQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg"
162. Dial M for Murder,1954,1h 45m,PG,8.2,195K,"https://m.media-amazon.com/images/M/MV5BZmYzNDgzYjgtNmU3Ny00YzUxLWE3OWUtMjIxZmNkYTVhNDZmXkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg"
163. Gone with the Wind,1939,3h 58m,G,8.2,342K,"https://m.media-amazon.com/images/M/MV5BYmYxZTE3YzMtYmE2Yy00NmFlLTkzYTAtYTAzN2IzNDFkN2E0XkEyXkFqcGc@._V1_QL75_UX140_CR0,3,140,207_.jpg"
164. Chinatown,1974,2h 10m,R,8.1,360K,"https://m.media-amazon.com/images/M/MV5BNmRmZTE0NmUtZjhiZi00MzQ3LTk3ZjctN2Q3ODYzY2U3MDk3XkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg"
165. The Secret in Their Eyes,2009,2h 9m,R,8.2,229K,"https://m.media-amazon.com/images/M/MV5BMTgwNTI3OTczOV5BMl5BanBnXkFtZTcwMTM3MTUyMw@@._V1_QL75_UY207_CR0,0,140,207_.jpg"
"166. Lock, Stock and Two Smoking Barrels",1998,1h 47m,R,8.1,628K,"https://m.media-amazon.com/images/M/MV5BMmY1M2M5ZmMtYzllZC00YzAxLTk4MjktZDJkNjA1MTUwMGQ4XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
